state,county_name,year,state_po,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
ALABAMA,FRANKLIN,2016,AL,1059,US PRESIDENT,OTHER,OTHER,377,12040,20260225,TOTAL
ALABAMA,GENEVA,2016,AL,1061,US PRESIDENT,DONALD TRUMP,REPUBLICAN,9994,11758,20260225,TOTAL
ALABAMA,GENEVA,2016,AL,1061,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1525,11758,20260225,TOTAL
ALABAMA,GENEVA,2016,AL,1061,US PRESIDENT,OTHER,OTHER,239,11758,20260225,TOTAL
ALABAMA,GREENE,2016,AL,1063,US PRESIDENT,DONALD TRUMP,REPUBLICAN,838,4880,20260225,TOTAL
ALABAMA,GREENE,2016,AL,1063,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4013,4880,20260225,TOTAL
ALABAMA,GREENE,2016,AL,1063,US PRESIDENT,OTHER,OTHER,29,4880,20260225,TOTAL
ALABAMA,HALE,2016,AL,1065,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3173,8040,20260225,TOTAL
ALABAMA,HALE,2016,AL,1065,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4775,8040,20260225,TOTAL
ALABAMA,HALE,2016,AL,1065,US PRESIDENT,OTHER,OTHER,92,8040,20260225,TOTAL
ALABAMA,HENRY,2016,AL,1067,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5632,8072,20260225,TOTAL
ALABAMA,HENRY,2016,AL,1067,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,2292,8072,20260225,TOTAL
ALABAMA,HENRY,2016,AL,1067,US PRESIDENT,OTHER,OTHER,148,8072,20260225,TOTAL
ALABAMA,HOUSTON,2016,AL,1069,US PRESIDENT,DONALD TRUMP,REPUBLICAN,30728,42639,20260225,TOTAL
ALABAMA,HOUSTON,2016,AL,1069,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,10664,42639,20260225,TOTAL
ALABAMA,HOUSTON,2016,AL,1069,US PRESIDENT,OTHER,OTHER,1247,42639,20260225,TOTAL
ALABAMA,JACKSON,2016,AL,1071,US PRESIDENT,DONALD TRUMP,REPUBLICAN,16672,20984,20260225,TOTAL
ALABAMA,JACKSON,2016,AL,1071,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3673,20984,20260225,TOTAL
ALABAMA,JACKSON,2016,AL,1071,US PRESIDENT,OTHER,OTHER,639,20984,20260225,TOTAL
ALABAMA,JEFFERSON,2016,AL,1073,US PRESIDENT,DONALD TRUMP,REPUBLICAN,134768,304191,20260225,TOTAL
ALABAMA,JEFFERSON,2016,AL,1073,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,156873,304191,20260225,TOTAL
ALABAMA,JEFFERSON,2016,AL,1073,US PRESIDENT,OTHER,OTHER,12550,304191,20260225,TOTAL
ALABAMA,LAMAR,2016,AL,1075,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5823,6966,20260225,TOTAL
ALABAMA,LAMAR,2016,AL,1075,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,1036,6966,20260225,TOTAL
ALABAMA,LAMAR,2016,AL,1075,US PRESIDENT,OTHER,OTHER,107,6966,20260225,TOTAL
ALABAMA,LAUDERDALE,2016,AL,1077,US PRESIDENT,DONALD TRUMP,REPUBLICAN,27899,39525,20260225,TOTAL
ALABAMA,LAUDERDALE,2016,AL,1077,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,9952,39525,20260225,TOTAL
ALABAMA,LAUDERDALE,2016,AL,1077,US PRESIDENT,OTHER,OTHER,1674,39525,20260225,TOTAL
ALABAMA,LAWRENCE,2016,AL,1079,US PRESIDENT,DONALD TRUMP,REPUBLICAN,10833,14829,20260225,TOTAL
ALABAMA,LAWRENCE,2016,AL,1079,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,3627,14829,20260225,TOTAL
ALABAMA,LAWRENCE,2016,AL,1079,US PRESIDENT,OTHER,OTHER,369,14829,20260225,TOTAL
ALABAMA,LEE,2016,AL,1081,US PRESIDENT,DONALD TRUMP,REPUBLICAN,34617,59191,20260225,TOTAL
ALABAMA,LEE,2016,AL,1081,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,21230,59191,20260225,TOTAL
ALABAMA,LEE,2016,AL,1081,US PRESIDENT,OTHER,OTHER,3344,59191,20260225,TOTAL
ALABAMA,LIMESTONE,2016,AL,1083,US PRESIDENT,DONALD TRUMP,REPUBLICAN,29067,40294,20260225,TOTAL
ALABAMA,LIMESTONE,2016,AL,1083,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,9468,40294,20260225,TOTAL
ALABAMA,LIMESTONE,2016,AL,1083,US PRESIDENT,OTHER,OTHER,1759,40294,20260225,TOTAL
ALABAMA,LOWNDES,2016,AL,1085,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1751,6684,20260225,TOTAL
ALABAMA,LOWNDES,2016,AL,1085,US PRESIDENT,HILLARY CLINTON,DEMOCRAT,4883,6684,20260225,TOTAL
ALABAMA,LOWNDES,2016,AL,1085,US PRESIDENT,OTHER,OTHER,50,6684,20260225,TOTAL
ALABAMA,MACON,2016,AL,1087,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1431,9140,20260225,TOTAL
